phase,track,family,model,cv_spearman,groupcv_spearman,scaffoldcv_spearman,cv_overfit_gap,groupcv_overfit_gap,scaffoldcv_overfit_gap,cv_fold_std,groupcv_fold_std,scaffoldcv_fold_std,cv_folds,groupcv_folds,scaffoldcv_folds,generalization_mean,primary_overfit_gap,source_model_dir
2A,2A_numeric,DL,FlatMLP,0.24675278884629992,0.26313724570159414,0.25546982486163916,0.019023587927222252,0.0013715574750676751,0.009089048020541668,0.011506198905408382,0.020267263054847717,0.008686484768986702,3,3,3,0.25930353528161665,0.0013715574750676751,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/FlatMLP
2A,2A_numeric,DL,CrossAttention,0.24526476513093268,0.26147262721988845,0.25454304820154555,0.0194841418415308,0.002290060045197606,0.010622506029903889,0.010287320241332054,0.020470870658755302,0.00934936385601759,3,3,3,0.258007837710717,0.002290060045197606,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/CrossAttention
2A,2A_numeric,DL,WideDeep,0.2482607912686491,0.2631874620781682,0.2524762302453593,0.017237523570656776,0.0011486808070912957,0.011564199812710285,0.014541718177497387,0.020059501752257347,0.008739572949707508,3,3,3,0.25783184616176374,0.0011486808070912957,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/WideDeep
2A,2A_numeric,DL,ResidualMLP,0.24588333845167457,0.2612251864041255,0.2537632378984352,0.019096290692687035,0.0025190513115376234,0.010368436574935913,0.007682451047003269,0.02156146988272667,0.008629925549030304,3,3,3,0.2574942121512803,0.0025190513115376234,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/ResidualMLP
2A,2A_numeric,DL,TabNet,0.2403107298995173,0.24908746139896062,0.2486593466009829,0.019316956400871277,0.0016443431377410889,0.009531239978969097,0.010675236582756042,0.02216779999434948,0.010526146739721298,3,3,3,0.24887340399997177,0.0016443431377410889,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/TabNet
2A,2A_numeric,DL,TabTransformer,0.21277306416246897,0.21581165072797967,0.21597644581075118,0.010634362697601318,0.008556400425732136,0.010205154307186604,0.010105597786605358,0.009857580997049809,0.019731493666768074,3,3,3,0.21589404826936542,0.008556400425732136,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/TabTransformer
2A,2A_numeric,DL,FTTransformer,0.2160022826903485,0.20862135735308884,0.22008219782842617,0.008625526912510395,0.0005120386485941708,0.004323974251747131,0.019659755751490593,0.023983284831047058,0.01653228886425495,3,3,3,0.21435177759075752,0.0005120386485941708,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/FTTransformer
2A,2A_numeric,Graph,GAT,0.2500698479236289,0.26298586812461583,0.2580157229805098,0.018003538250923157,0.0052351257763803005,0.010541737079620361,0.010297348722815514,0.02759847231209278,0.004372047260403633,3,3,3,0.2605007955525628,0.0052351257763803005,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2A_numeric/GAT
2A,2A_numeric,Graph,GraphSAGE,0.2502076538443973,0.26267076296694786,0.25798498083156235,0.01821495033800602,0.005554959177970886,0.010627011768519878,0.011206666938960552,0.026904676109552383,0.004398098215460777,3,3,3,0.2603278718992551,0.005554959177970886,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2A_numeric/GraphSAGE
2A,2A_numeric,ML,CatBoost,0.2499346407660059,0.26366188866644297,0.2590657637998139,0.021597569074378774,0.0067650857663959785,0.011733199626304333,0.009495829204724039,0.02427365605791306,0.0036736282425117507,3,3,3,0.2613638262331284,0.0067650857663959785,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/CatBoost
