drug_id,rank,drug_name,tier,tier_name,tier_validation_goal,selected_config,ensemble_method,drug_level_score,confidence_grade,canonical_smiles,safety_score,verdict,n_total_matches,n_exact,n_close_analog,n_analog,hard_fail,hard_fail_reasons,soft_flag_count,soft_flags,context_flag_count,context_flags,herg_value,ames_value,dili_value,cyp3a4_value,ppbr_value,caco2_value,bioavailability_value,half_life_value,pains_alerts,lipinski_violations,mw,logp,hbd,hba,tpsa,rotatable_bonds
2438,1,ascorbate (vitamin C),4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,8.505767169258746,C,C(C(C1C(=C(C(=O)O1)[O-])O)O)O,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,175.11599999999999,-2.6050999999999993,3,6,110.05000000000001,2
2499,2,N-acetyl cysteine,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,7.848305785113417,C,CC(=O)N[C@@H](CS)C(O)=O,7.259,WARNING,4,4,0,0,0,,1,Ames,1,Oral_bio_low,,1.0,,,,,0.0,5.5,0,0,163.198,-0.4945,3,3,66.4,3
2439,3,glutathione,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,7.438429365536784,A,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,3.0,FAIL,1,1,0,0,0,,1,Ames,0,,,1.0,,,,,,,0,1,307.32800000000003,-2.2060999999999984,6,6,158.82,9
2498,4,alpha-lipoic acid,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,6.37713898102255,B,OC(=O)CCCC[C@@H]1CCSS1,6.0734763324,PASS,5,5,0,0,0,,0,,0,,,0.0,,0.0,,,,,0,0,206.332,2.7851000000000017,1,3,37.3,5
1375,5,Temozolomide,2,유방암 적응증 확장 연구 치료제,유방암 임상연구/적응증 확장 가능성 확인,A,directive_weighted_average,6.201372027721784,B,Cn1nnc2c(C(N)=O)ncn2c1=O,6.5760000000000005,PASS,5,5,0,0,0,,0,,0,,,,0.0,,,,1.0,1.5,0,0,194.154,-2.078099999999999,1,5,108.17000000000002,1
1815,6,Dacarbazine,3,유방암 비사용 치료제,타 적응증 치료제의 신규 repurposing 탐색,A,directive_weighted_average,5.651772244191403,C,CN(C)/N=N/c1[nH]cnc1C(N)=O,8.1,FAIL,4,4,0,0,1,PAINS>0,0,,0,,,,,,,,,6.2,1,0,182.18699999999998,0.0688999999999999,2,4,99.72999999999999,3
1615,7,CZC24832,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,5.533146752587036,C,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,364.4060000000001,1.5894,2,6,115.27,3
1847,8,BEN,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,5.472948052631643,C,C1=CC=C(C=C1)C(=N)N,5.0,WARNING,3,3,0,0,0,,0,,0,,,0.0,,0.0,,,,,0,0,120.15499999999999,0.9706699999999999,2,1,49.870000000000005,1
1089,9,Oxaliplatin,2,유방암 적응증 확장 연구 치료제,유방암 임상연구/적응증 확장 가능성 확인,A,directive_weighted_average,5.356930068447554,A,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,397.2880000000001,-0.7861,2,6,86.80000000000001,2
1813,10,Fludarabine,3,유방암 비사용 치료제,타 적응증 치료제의 신규 repurposing 탐색,A,directive_weighted_average,5.1769369815559525,C,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,12.16,PASS,6,3,0,3,0,,0,,0,,,,,0.0,,,1.0,11.0,0,0,285.235,-1.8409000000000002,4,8,139.54000000000002,2
