rank,experiment_id,phase,split,category,model,val_spearman_mean,val_spearman_std,train_spearman_mean,gap_mean,n_folds,overfitting_flag,stability_flag,source_file
1,2C_ML_CatBoost_5-FoldCV,Phase 2C,5-Fold CV,ML,CatBoost,0.8954773400887179,0.009666862858334317,0.9660038706650781,0.07052653057636016,5,False,True,colon_numeric_context_smiles_ml_v1_5foldcv.json
2,2C_ML_LightGBM_5-FoldCV,Phase 2C,5-Fold CV,ML,LightGBM,0.8865474277457718,0.009272583533449147,0.9371839099528272,0.05063648220705541,5,False,True,colon_numeric_context_smiles_ml_v1_5foldcv.json
3,2C_ML_ExtraTrees_5-FoldCV,Phase 2C,5-Fold CV,ML,ExtraTrees,0.8851107438844725,0.010760294165677992,1.0,0.11488925611552747,5,False,True,colon_numeric_context_smiles_ml_v1_5foldcv.json
4,2C_ML_RandomForest_5-FoldCV,Phase 2C,5-Fold CV,ML,RandomForest,0.8847800750992814,0.00959650756126049,0.9866779071468507,0.1018978320475693,5,False,True,colon_numeric_context_smiles_ml_v1_5foldcv.json
5,2C_ML_LightGBM_DART_5-FoldCV,Phase 2C,5-Fold CV,ML,LightGBM_DART,0.8797539945115117,0.009440457865436286,0.9042924235535239,0.0245384290420122,5,False,True,colon_numeric_context_smiles_ml_v1_5foldcv.json
6,2C_ML_XGBoost_5-FoldCV,Phase 2C,5-Fold CV,ML,XGBoost,0.8768657561103355,0.011049709615388618,0.981231960511271,0.10436620440093558,5,False,True,colon_numeric_context_smiles_ml_v1_5foldcv.json
7,2C_DL_ResidualMLP_5-FoldCV,Phase 2C,5-Fold CV,DL,ResidualMLP,0.8659184361006297,0.01313872276752148,0.9300364751824504,0.06411803908182068,5,False,True,colon_numeric_context_smiles_dl_v1_5foldcv.json
8,2C_DL_TabTransformer_5-FoldCV,Phase 2C,5-Fold CV,DL,TabTransformer,0.8628665647559524,0.01491082055935751,0.8923364067580648,0.029469842002112445,5,False,True,colon_numeric_context_smiles_dl_v1_5foldcv.json
9,2C_DL_CrossAttention_5-FoldCV,Phase 2C,5-Fold CV,DL,CrossAttention,0.8623209160756111,0.013307976024594948,0.893858670813158,0.03153775473754683,5,False,True,colon_numeric_context_smiles_dl_v1_5foldcv.json
10,2C_DL_FlatMLP_5-FoldCV,Phase 2C,5-Fold CV,DL,FlatMLP,0.8605625131496628,0.012157100989706963,0.901661661955386,0.041099148805723185,5,False,True,colon_numeric_context_smiles_dl_v1_5foldcv.json
11,2C_DL_FTTransformer_5-FoldCV,Phase 2C,5-Fold CV,DL,FTTransformer,0.8583014229054369,0.006506518405999347,0.8789719439123136,0.02067052100687672,5,False,True,colon_numeric_context_smiles_dl_v1_5foldcv.json
12,2C_DL_TabNet_5-FoldCV,Phase 2C,5-Fold CV,DL,TabNet,0.8560811984478143,0.014114199862770153,0.948110702444431,0.09202950399661669,5,False,True,colon_numeric_context_smiles_dl_v1_5foldcv.json
13,2C_DL_WideDeep_5-FoldCV,Phase 2C,5-Fold CV,DL,WideDeep,0.8541475267570053,0.013985126790277339,0.8852771255166143,0.031129598759608967,5,False,True,colon_numeric_context_smiles_dl_v1_5foldcv.json
14,2B_ML_CatBoost_5-FoldCV,Phase 2B,5-Fold CV,ML,CatBoost,0.8260757668661421,0.010850003205647123,0.8971666784443697,0.07109091157822756,5,False,True,colon_numeric_smiles_ml_v1_5foldcv.json
15,2A_ML_CatBoost_5-FoldCV,Phase 2A,5-Fold CV,ML,CatBoost,0.8254431722020508,0.010173150039692255,0.8962266148907142,0.07078344268866343,5,False,True,colon_numeric_ml_v1_5foldcv.json
16,2B_ML_LightGBM_5-FoldCV,Phase 2B,5-Fold CV,ML,LightGBM,0.8196280079234295,0.009703173610065037,0.8735456981222821,0.05391769019885262,5,False,True,colon_numeric_smiles_ml_v1_5foldcv.json
17,2A_ML_LightGBM_5-FoldCV,Phase 2A,5-Fold CV,ML,LightGBM,0.8179663193644376,0.008884842973646665,0.8723842897737002,0.05441797040926255,5,False,True,colon_numeric_ml_v1_5foldcv.json
18,2A_ML_LightGBM_DART_5-FoldCV,Phase 2A,5-Fold CV,ML,LightGBM_DART,0.8111605336524136,0.010896705821540705,0.8376546363011148,0.026494102648701223,5,False,True,colon_numeric_ml_v1_5foldcv.json
19,2B_ML_RandomForest_5-FoldCV,Phase 2B,5-Fold CV,ML,RandomForest,0.8108701939947393,0.008611073752476514,0.9345498312457051,0.12367963725096587,5,False,True,colon_numeric_smiles_ml_v1_5foldcv.json
20,2A_ML_RandomForest_5-FoldCV,Phase 2A,5-Fold CV,ML,RandomForest,0.8104946002491424,0.00919150563933501,0.9344523177589796,0.1239577175098372,5,False,True,colon_numeric_ml_v1_5foldcv.json
21,2B_ML_LightGBM_DART_5-FoldCV,Phase 2B,5-Fold CV,ML,LightGBM_DART,0.8099592245415075,0.011581701598098706,0.8379403207573661,0.027981096215858647,5,False,True,colon_numeric_smiles_ml_v1_5foldcv.json
22,2A_DL_WideDeep_5-FoldCV,Phase 2A,5-Fold CV,DL,WideDeep,0.8097923724458234,0.0117557018197342,0.8461361777629646,0.03634380531714121,5,False,True,colon_numeric_dl_v1_5foldcv.json
23,2B_DL_FlatMLP_5-FoldCV,Phase 2B,5-Fold CV,DL,FlatMLP,0.8093527201365027,0.009123269707624842,0.8558099257546885,0.04645720561818578,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
24,2A_DL_ResidualMLP_5-FoldCV,Phase 2A,5-Fold CV,DL,ResidualMLP,0.8092107984951561,0.010005352080294148,0.8763978879613592,0.06718708946620311,5,False,True,colon_numeric_dl_v1_5foldcv.json
25,2B_ML_XGBoost_5-FoldCV,Phase 2B,5-Fold CV,ML,XGBoost,0.8086133808974137,0.008250939516354088,0.9178255777988937,0.10921219690147999,5,False,True,colon_numeric_smiles_ml_v1_5foldcv.json
26,2B_DL_WideDeep_5-FoldCV,Phase 2B,5-Fold CV,DL,WideDeep,0.8082164263576297,0.013208807637303897,0.8459711721700722,0.037754745812442536,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
27,2A_ML_XGBoost_5-FoldCV,Phase 2A,5-Fold CV,ML,XGBoost,0.8075593655676994,0.010827642215469094,0.9171235960056471,0.10956423043794772,5,False,True,colon_numeric_ml_v1_5foldcv.json
28,2B_DL_CrossAttention_5-FoldCV,Phase 2B,5-Fold CV,DL,CrossAttention,0.8050611940174542,0.013195130141698496,0.8356062795634095,0.030545085545955253,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
29,2B_DL_ResidualMLP_5-FoldCV,Phase 2B,5-Fold CV,DL,ResidualMLP,0.8050447738580143,0.006653115341032667,0.8749918970415586,0.06994712318354424,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
