model,cv5_mean,group_mean,scaffold_mean,cv5_gap_mean,group_gap_mean,scaffold_gap_mean,cv5_overfit_cnt,group_overfit_cnt,scaffold_overfit_cnt,phase_cov,generalization_drop,overfit_total,ensemble_score
GAT,,0.4062,0.2892,,0.1751,0.117,0,2,1,3,0.117,3,0.182
TabTransformer,0.8191,0.4595,0.365,0.0347,0.3993,0.4861,0,3,3,3,0.0945,6,0.1296
CatBoost,0.849,0.4679,0.3926,0.0708,0.4584,0.5303,0,3,3,3,0.0753,6,0.1284
FTTransformer,0.8218,0.4481,0.3694,0.0208,0.3962,0.4698,0,3,3,3,0.0787,6,0.1282
ResidualMLP,0.8267,0.4664,0.3624,0.0671,0.4313,0.5267,0,3,3,3,0.1041,6,0.1208
LightGBM_DART,0.8337,0.45,0.3646,0.0263,0.4189,0.5025,0,3,3,3,0.0854,6,0.1193
LightGBM,0.8414,0.448,0.3808,0.053,0.4546,0.5193,0,3,3,3,0.0672,6,0.115
FlatMLP,0.8247,0.4478,0.3444,0.0446,0.4267,0.5228,0,3,3,3,0.1034,6,0.1055
WideDeep,0.824,0.4406,0.3439,0.0351,0.4217,0.5175,0,3,3,3,0.0967,6,0.1031
CrossAttention,0.8224,0.4148,0.3114,0.0312,0.4456,0.544,0,3,3,3,0.1034,6,0.0687
TabNet,0.8139,0.4106,0.3565,0.0975,0.5073,0.5538,0,3,3,3,0.0541,6,0.0674
RandomForest,0.8354,0.4237,0.3448,0.1165,0.5283,0.6049,0,3,3,3,0.0789,6,0.0609
GraphSAGE,,0.4223,0.3295,,0.2833,0.3494,0,3,3,3,0.0928,6,0.0585
XGBoost,0.831,0.4067,0.327,0.1077,0.5386,0.6146,0,3,3,3,0.0798,6,0.0413
ExtraTrees,0.8282,0.3905,0.2889,0.1378,0.5757,0.6748,2,3,3,3,0.1016,8,-0.0577
