Phase,Type,Model,Spearman_GroupCV,Pearson_GroupCV,R2_GroupCV,Kendall_GroupCV,MAE_GroupCV,RMSE_GroupCV,Spearman_Train,Spearman_Val,Train_Val_Ratio
2A,ML,LightGBM,0.449,0.4608,0.1569,0.3128,1.8726,2.5183,0.8449,0.449,1.8818
2A,ML,LightGBM_DART,0.4373,0.4415,0.1728,0.3039,1.8811,2.4977,0.8213,0.4373,1.878
2A,ML,XGBoost,0.4361,0.4872,0.1854,0.3035,1.8743,2.4809,0.8798,0.4361,2.0173
2A,ML,CatBoost,0.4765,0.5196,0.2428,0.3344,1.8006,2.3932,0.8699,0.4765,1.8258
2A,ML,RandomForest,0.4303,0.4305,0.0675,0.2989,1.9484,2.6458,0.9452,0.4303,2.1969
2A,ML,ExtraTrees,0.407,0.3848,-0.0294,0.2873,1.988,2.7838,0.9603,0.407,2.3596
2A,DL,ResidualMLP,0.4531,0.5258,0.2392,0.3181,1.8031,2.3984,0.8694,0.4531,1.9187
2A,DL,FTTransformer,0.4239,0.4916,0.1907,0.2959,1.855,2.4754,0.8391,0.4239,1.9796
2A,DL,CrossAttention,0.4067,0.4732,0.1766,0.2824,1.9158,2.4978,0.8516,0.4067,2.0939
2A,DL,TabNet,0.437,0.5035,0.1697,0.3045,1.8654,2.5042,0.919,0.437,2.1032
2A,DL,WideDeep,0.3747,0.4491,0.1562,0.2586,1.9638,2.5284,0.8395,0.3747,2.2403
2A,DL,TabTransformer,0.4497,0.5079,0.2076,0.3142,1.8178,2.4475,0.8619,0.4497,1.9165
2B,ML,LightGBM,0.4461,0.4617,0.1662,0.3107,1.8632,2.5039,0.845,0.4461,1.8943
2B,ML,LightGBM_DART,0.4393,0.4583,0.1927,0.3053,1.8696,2.4671,0.821,0.4393,1.8689
2B,ML,XGBoost,0.4561,0.496,0.2077,0.3171,1.8584,2.4472,0.8795,0.4561,1.9284
2B,ML,CatBoost,0.4823,0.5271,0.256,0.3381,1.7943,2.3738,0.8705,0.4823,1.805
2B,ML,RandomForest,0.3796,0.3593,-0.0089,0.2621,2.0148,2.7546,0.9451,0.3796,2.49
2B,ML,ExtraTrees,0.4005,0.3809,-0.0203,0.2813,2.0058,2.7729,0.9603,0.4005,2.3975
2B,DL,FlatMLP,0.4368,0.5153,0.2359,0.3054,1.8547,2.4045,0.8555,0.4368,1.9584
2B,DL,ResidualMLP,0.4489,0.5172,0.2478,0.3151,1.8102,2.386,0.8711,0.4489,1.9405
2B,DL,FTTransformer,0.4082,0.476,0.1843,0.2849,1.8762,2.4849,0.8384,0.4082,2.0539
2B,DL,CrossAttention,0.3999,0.4808,0.154,0.2781,1.9367,2.5312,0.848,0.3999,2.1205
2B,DL,TabNet,0.4062,0.4713,0.1011,0.2825,1.9353,2.6037,0.9164,0.4062,2.2557
2B,DL,WideDeep,0.3675,0.4462,0.1363,0.2533,1.9724,2.5575,0.8375,0.3675,2.2785
2B,DL,TabTransformer,0.415,0.4837,0.1721,0.2891,1.8581,2.5017,0.8612,0.415,2.075
2C,DL,FlatMLP,0.4122,0.4984,0.2126,0.2858,1.8857,2.4426,0.9095,0.4122,2.2065
2C,DL,ResidualMLP,0.4277,0.5044,0.1935,0.2984,1.8798,2.4719,0.9275,0.4277,2.1685
2C,DL,FTTransformer,0.4018,0.4893,0.1399,0.2801,1.9157,2.5529,0.8968,0.4018,2.2317
2C,DL,CrossAttention,0.3841,0.4627,0.1082,0.2661,1.9739,2.5994,0.9045,0.3841,2.355
2C,DL,TabNet,0.4063,0.4838,0.1626,0.2831,1.8939,2.5178,0.9676,0.4063,2.3815
2C,DL,WideDeep,0.3149,0.4042,0.0157,0.2156,2.1523,2.7305,0.8909,0.3149,2.8292
2C,DL,TabTransformer,0.4186,0.4967,0.1884,0.2924,1.8556,2.4779,0.9188,0.4186,2.1948
