canonical_drug_id,rank_2b,rank_2c,rank_change,ic50_2b,ic50_2c,ic50_change
1593,30,18,-12,1.635861361146052,1.2383682496453432,-0.39749311150070876
1054,19,8,-11,1.333637511096586,0.7103216653583512,-0.6233158457382347
1910,20,10,-10,1.3600749134294183,0.7643679422008993,-0.595706971228519
1511,9,4,-5,0.0598131075212471,0.268622970109531,0.2088098625882839
1084,25,20,-5,1.5198595568488638,1.2514343809264517,-0.2684251759224121
1080,4,1,-3,-1.7252495997635326,-0.5681769362327035,1.1570726635308293
1051,23,21,-2,1.4361192165094505,1.2635536914621497,-0.17256552504730083
1809,11,11,0,0.17356331161361363,0.8286761887776659,0.6551128771640523
1039,2,3,1,-2.9673536757364363,-0.10376541933529815,2.863588256401138
1819,5,6,1,-1.3275035247717089,0.5850131647836839,1.912516689555393
1811,1,2,1,-3.428227885930393,-0.48622267302559075,2.942005212904802
1843,28,29,1,1.6008571700766514,1.548202285657691,-0.05265488441896049
1911,7,9,2,-1.0264358329789682,0.7361276435668097,1.762563476545778
1808,3,5,2,-1.8727832677234535,0.5304977433098609,2.4032810110333145
1810,8,14,6,-0.010203996625431578,1.0223043698570806,1.032508366482512
1007,6,16,10,-1.3233146302227203,1.1361731335171907,2.459487763739911
2011,15,30,15,1.0433131235200632,1.553178924439743,0.5098658009196797
