rank,canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,n_samples,n_celllines
1,1811,-3.428227885930393,0.8366821235061802,-5.960829115494034,-0.22028022320401197,390,249
2,1039,-2.9673536757364363,1.0719924176999345,-5.117812921107986,0.49064715330339714,89,68
3,1808,-1.8727832677234535,1.5083551239580606,-6.117248909818846,3.1255647103478466,390,249
4,1080,-1.7252495997635326,1.40508377451658,-5.116455911086496,3.704607180525555,486,292
5,1819,-1.3275035247717089,1.021931483009445,-4.279746398208275,1.9943436536156174,369,241
6,1007,-1.3233146302227203,1.0140632680429014,-4.1279620432289,2.061880295501536,489,295
7,1911,-1.0264358329789682,1.0942349146462327,-4.566187617588451,2.645449223228214,480,288
8,1810,-0.010203996625431578,1.0664212054215805,-3.0403435632433258,4.286791386684225,390,249
9,1511,0.0598131075212471,1.0994819701359047,-3.446537857858738,3.6381745424733705,486,292
10,1016,0.09492782969381039,1.2255058528603626,-2.9969746068846055,4.824816687053385,468,283
11,1809,0.17356331161361363,0.9470573379775145,-2.636902230881116,3.016759126476157,390,249
12,1706,0.9029433732581239,0.8730411806967179,-1.7908570382697517,4.236384377903789,388,248
13,1581,0.9814178072971216,0.7905394613664736,-1.2521479406327503,4.179711371183364,390,249
14,1004,1.0301983758816042,0.9322649435736245,-1.8028454559349045,4.641846680685284,399,249
15,2011,1.0433131235200632,0.77189328945586,-1.4406371551463808,4.151018971305576,399,250
16,1026,1.2546890061730656,0.983845412323204,-1.5322027757026833,4.85446970153457,481,290
17,1598,1.270441684409925,0.7895159588556411,-0.9721505112072837,4.829216938729196,487,293
18,1830,1.2871974235548966,0.8013167673920701,-0.9401703112491719,4.640623572248205,390,249
19,1054,1.333637511096586,1.006086671434561,-1.7015253305190452,4.236902905068416,489,295
20,1910,1.3600749134294183,0.9961773442208745,-2.143136029029125,5.351231307218767,485,292
21,2172,1.397916198134528,1.0140595144345979,-1.9344891473319858,4.5639659142475315,481,290
22,1617,1.4040462295038694,1.0083900831926214,-1.588614921182188,5.331123213581083,458,281
23,1051,1.4361192165094505,1.1254461656696373,-2.1462507594995808,5.240143728915761,480,290
24,2110,1.4668039084104092,0.8255186048624717,-0.9125301895892259,4.770103869606915,479,290
25,1084,1.5198595568488638,1.0261232718003976,-1.240004941185374,5.637006901056447,478,290
26,1720,1.5388147939637609,1.071623933678534,-1.3826851266762779,5.8170724806151375,386,247
27,2148,1.5457334353399141,0.8395020463237537,-0.9959655655529049,4.971975592638039,399,250
28,1843,1.6008571700766514,0.880398014468073,-0.5717720103494277,4.558354502409642,390,249
29,1817,1.6049477447341587,0.9313156113976019,-1.3019136540017122,4.691574686227806,390,249
30,1593,1.635861361146052,0.941672880443307,-1.4424260659725148,4.9164303442346355,463,285
