rank,canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,n_samples,n_celllines
1,1080,-0.5681769362327035,1.2772603090206407,-3.581920498426582,4.188168195903359,486,292
2,1811,-0.48622267302559075,0.7722885133399954,-2.7957556791352376,2.486835862665429,390,249
3,1039,-0.10376541933529815,1.0483324299048218,-1.7278171779137868,3.4386537243281006,89,68
4,1511,0.268622970109531,1.0444615272284619,-3.2541686198779045,4.253478512115544,486,292
5,1808,0.5304977433098609,1.3509109796005005,-2.9550994273561546,4.773842882242118,390,249
6,1819,0.5850131647836839,0.7839996589074271,-1.7157539802337434,3.8330242903928613,369,241
7,1626,0.662281453064777,0.9407676872410253,-1.9614555619748852,4.132073885787636,461,284
8,1054,0.7103216653583512,1.0170349263207186,-2.483311769432744,4.441549090412201,489,295
9,1911,0.7361276435668097,1.1020191154603638,-2.542627118418096,4.643655238456693,480,288
10,1910,0.7643679422008993,0.9436570260670618,-1.5989996510131874,4.424972019246981,485,292
11,1809,0.8286761887776659,0.9232463370580064,-2.133086877626848,4.22779986367506,390,249
12,1802,0.8758405569893063,0.7890167432584811,-1.379778197085205,4.134316596748619,390,249
13,1072,0.8878668825333711,0.9829035372046288,-1.9276862422516459,4.229023396531426,484,292
14,1810,1.0223043698570806,0.980253966018988,-1.7637690044261358,5.144663822005267,390,249
15,1908,1.0690536482919102,0.8074560450237063,-1.209584068504459,4.398590527938508,486,292
16,1007,1.1361731335171907,0.8662525055800616,-1.2578278319302028,4.601176048384581,489,295
17,2002,1.1972222512413149,0.8048787190560622,-1.0688071524061646,4.445918016406966,401,250
18,1593,1.2383682496453432,1.084062846518778,-2.394066102837966,4.968762645905731,463,285
19,2048,1.2473345910682765,0.8920303805385854,-1.7858448730874459,4.4516785981297025,480,291
20,1084,1.2514343809264517,1.0880179045459941,-1.969715461314359,5.4592038264065215,478,290
21,1051,1.2635536914621497,1.0285519879175837,-1.8976027072605612,5.247036022956831,480,290
22,1237,1.2818166803970445,0.8119453962843813,-1.1912231757409177,4.289512664287337,487,293
23,1922,1.305183110994645,0.9438064099359794,-2.133675277721257,4.634170893649239,486,292
24,1096,1.3637499233370365,0.9146714905910619,-1.07502406318633,4.416100565259684,116,87
25,1940,1.367544502371529,0.7356116999281267,-0.8937459508390644,4.376929042401347,485,291
26,1917,1.4625333296980323,0.9476175626410153,-1.1056796808667455,4.773779625528192,486,292
27,1091,1.5148106953937268,0.993233399864764,-1.3485880392474092,4.809186261117935,486,292
28,1613,1.526538571699027,0.8779564466737438,-1.5434620732318427,5.000700348793251,462,284
29,1843,1.548202285657691,0.8947643715260842,-0.8657756659538318,5.129373785446122,390,249
30,2011,1.553178924439743,0.7635664408338969,-0.9349389280971852,4.365342988193001,399,250
