gdsc_name,normalized,stage,depmap_stripped,depmap_model_id,has_crispr,n_drugs_measured
23132-87,2313287,strict,2313287,ACH-000948,False,279
AGS,ags,strict,AGS,ACH-000880,True,279
FU97,fu97,strict,FU97,ACH-000633,True,170
GCIY,gciy,strict,GCIY,ACH-000047,True,280
HGC-27,hgc27,strict,HGC27,ACH-000847,False,277
HSC-39,hsc39,strict,HSC39,ACH-002141,False,169
Hs-746T,hs746t,strict,HS746T,ACH-000616,False,279
IM-95,im95,strict,IM95,ACH-000919,True,279
KATOIII,katoiii,strict,KATOIII,ACH-000793,False,280
MKN28,mkn28,strict,MKN28,ACH-002161,True,280
MKN45,mkn45,strict,MKN45,ACH-000356,False,280
MKN7,mkn7,strict,MKN7,ACH-000678,False,191
NCI-N87,ncin87,strict,NCIN87,ACH-000427,False,257
NUGC-3,nugc3,strict,NUGC3,ACH-000911,False,279
NUGC-4,nugc4,strict,NUGC4,ACH-000674,False,279
OCUM-1,ocum1,strict,OCUM1,ACH-000247,False,280
RERF-GC-1B,rerfgc1b,strict,RERFGC1B,ACH-000144,False,279
RF-48,rf48,strict,RF48,ACH-002301,False,270
SK-GT-2,skgt2,strict,SKGT2,ACH-001653,False,279
SNU-1,snu1,strict,SNU1,ACH-000932,False,278
SNU-16,snu16,strict,SNU16,ACH-000581,False,155
SNU-5,snu5,strict,SNU5,ACH-000303,False,279
TGBC11TKB,tgbc11tkb,strict,TGBC11TKB,ACH-000949,False,202
TMK-1,tmk1,strict,TMK1,ACH-002202,False,180
